loglik_ratio,sigma,x,sex
250.096309672079,613.687352419476,27.1008724242846,-0.0772249331836265
247.035290933158,508.876428267765,29.7140962199607,-0.062183684479242
293.970584462508,732.298834663068,23.4735041225411,0.0469237349250455
297.755749124499,596.711606770901,25.7482054683345,0.0926007198866717
281.799727841708,641.54305050774,20.5135353676366,0.0523705803114331
272.456131282303,630.996117710377,38.5026124094233,0.00407422888483602
297.16617345807,728.068974003847,21.6821735617074,-0.118520966208195
254.660214776022,623.631046431071,34.4446502971619,0.0905796377257174
252.216453046591,694.684193923743,26.0262034500223,0.00882208526357001
282.108892493878,553.549368121432,6.31563788631853,0.0755351415269156
270.371746256335,645.090715700592,26.5987617956649,-0.0551882818478177
296.650475326365,670.678283003716,28.9759262486791,0.0213879895678311
288.287153930443,727.748598501295,54.4324721144221,0.0475370235015492
320.331134977534,747.321344975666,4.84493252220054,0.11722593845599
235.339874419798,512.325313010309,24.6597862324749,0.059384320683299
282.574513067724,672.094768016303,32.0681939884577,0.0420274521685048
307.988647388876,767.689057895518,40.5915097492479,0.172286679645794
237.175667465175,596.822088437911,29.1795948975347,-0.104505773032528
279.991521043754,614.77398954854,3.21779249186298,0.213868918566283
236.078468129806,559.570542497289,18.2188125401228,0.091062545744682
251.525456889607,552.958084095326,31.8788441140555,0.00976235550836158
273.283422239125,604.695749943839,16.6809093350126,-0.00286070702352084
340.273103133728,717.046970616733,40.6293693761113,-0.0030795000082806
253.955745990535,544.669805807948,3.60204418799919,-0.0173991005982792
300.076615386259,841.946731801716,32.988192857929,-0.0231997018393507
246.065992629414,608.976314492007,33.9603567166625,0.0124839791756545
271.221759657577,565.453494770266,17.2055257795159,-0.0346227588382827
282.913811981813,666.58122134934,21.7959524136493,-0.0401068767590676
328.351794630067,762.206776852529,17.2048637754097,-0.0694313590900225
284.238230117284,749.065342254606,30.6123475461641,-0.153695826904968
275.028288694133,612.853764469486,30.0269602115659,-0.128924830762518
280.013581238296,655.744298943744,17.1146327679061,0.0593106039839946
278.098112492895,602.924664833395,39.7175147085292,-0.00312850466584517
269.878711264289,962.689192981207,45.5827764032682,0.0411226543921966
325.19549923108,687.539614945049,30.5672452890054,-0.0236064007414021
254.420410017643,540.415363578811,4.58064204108819,-0.0735995452941064
264.309931897631,640.331721445001,15.085162911485,-0.0365583237094928
238.40227492102,503.317449965682,24.7681891948747,-0.057353104730285
343.998466455034,891.084963046413,29.7998189096068,0.0606789938297701
286.125679247849,701.430809193134,34.7372800539984,-0.036861102972086
255.680766837941,543.061850546635,31.9958458109759,-0.0129642027212489
320.496296284155,760.908702201161,14.5035107182771,0.0752008544308719
285.244392616691,658.532666946528,10.8826225460968,0.0404844351856979
230.679744637306,556.434138875897,8.51872481455928,-0.0323952823355272
272.38121624982,666.588514631256,35.8303563302933,-0.0522176218625662
242.416777393864,660.826823100289,27.9204008452825,0.0927174065650335
283.139548587595,713.408569204669,11.3518650041798,-0.0389526901687218
286.890704203564,814.536734046874,18.533968948845,0.130975887848875
302.60189817173,808.465773559018,22.0125422204185,0.044702127391216
250.558579143904,592.74097479333,12.0700225413505,0.0327855140287371
263.194880102152,634.248335208912,35.9168520136221,0.076744672271252
238.427832448921,695.961996184774,44.3568427826911,-0.0275705029834379
261.837462082465,623.702059275092,28.9116534734032,-0.0775070370989468
293.265360690039,628.297658784582,23.3097686642181,0.0750872126410457
311.162054334649,828.21768972496,8.2873688055239,-0.0359045323498642
264.199709887309,655.057694532563,29.5091825668757,0.0828525346672038
263.188110802588,569.722490278933,24.4567505048652,0.054805327011871
318.452832470302,731.076046612909,3.63415918037288,-0.068748912218985
269.996793488701,573.750099947582,13.3045054934844,0.066154464381164
265.12894904092,593.300038960363,18.1569355338253,0.0145201381466328
283.791864281684,685.742541358152,28.8792974861041,-0.0175251268689643
299.21825461707,697.204675275585,7.99613125908957,-0.0840060521372303
